bid,单位面积穗数(万),千粒重(g),每穗粒数,亩产量(kg)
713,0,42.30,45.50,0
714,0,42.8,34.4,0
715,0,54,40,0
716,38.98,38.69,36.30,547.45
717,0,44.9,37.9,0
718,0,42.1,42,0
719,0,0,38.20,0
720,0,48.75,42.00,0
721,0,40.25,33,0
722,40.70,36.3,36.6,540.73
724,0,48,33,0
725,42.50,42.50,30,541.88
726,0,45,0,0
728,0,50,0,0
729,41.80,49.95,29.85,623.24
730,39.70,46.45,33.25,613.15
731,0,42.7,0,0
732,39.31,46.4,32.5,592.79
733,19.6,42.30,51.3,425.32
734,0,43,44,0
735,0,32.50,28.00,0
739,0,38,0,0
740,0,43,43,0
741,36.95,41.9,35.2,544.97
742,0,45,45,0
743,0,41,0,0
746,40.2,42.1,37.5,634.66
748,0,45,0,0
749,0,49.4,44.6,0
750,0,40,40,0
751,0,42,0,0
753,0,42,42,0
754,38.35,44.70,35.60,610.27
756,28.1,41.3,34.4,399.22
758,37.5,44.2,33.3,551.95
759,38.7,45.2,32.6,570.25
761,30.4,38.6,38.5,451.77
762,34.8,44.3,0,0
763,19.3,47.0,38,344.70
764,0,37.00,35.00,0
765,41.85,47.60,33.35,664.35
766,38.53,43.1,34.4,571.26
767,0,39.00,29.00,0
769,42.75,43.70,32.75,611.83
770,0,51.60,45.5,0
772,46.9,47.1,31.4,693.62
775,34.0,41.5,40.9,577.10
778,0,2.1,44.45,0
779,0,35,0,0
780,37.60,44.25,34.40,572.35
784,36.10,43.90,32.30,511.89
786,43.1,44.7,30.7,591.46
788,41.9,43.4,32.5,591.00
789,39.00,45.35,34.85,616.37
791,35.8,48.3,38.9,672.64
795,29.7,35.3,43.0,450.82
796,37.55,50.80,35.05,668.59
797,21.8,49.9,40.6,441.65
798,42.7,41.6,35.8,635.92
799,36.2,45.3,37.9,621.51
800,39.6,43.4,29.5,507.00
801,42.3,37.1,32.5,510.03
804,30.9,41.0,38.9,492.82
806,18.77,42.9,40.9,329.34
807,0,42.7,0,0
808,40.1,42.8,33.2,569.80
809,47.7,45.4,32.7,708.14
811,37.85,52.45,32.90,653.14
812,30.8,33.6,28.8,298.05
814,42.5,44.7,35.2,668.71
818,41.55,47.30,27.55,541.44
820,45.3,41.0,30.3,562.76
822,44.1,44.3,29.6,578.27
824,43.1,40.4,37.7,656.45
825,35,40,35,490.00
829,36.60,48.05,33.45,588.26
830,36.80,38.15,35.75,501.90
831,42.0,41.1,36.7,633.52
832,38,40,33,501.60
834,37.6,46.8,32.2,566.62
836,40.5,48.2,30.3,591.49
837,32.7,46.7,0,0
838,47.5,39.0,30.3,561.31
839,41.9,45.1,36.9,697.30
840,40.05,50.80,32.25,656.14
841,42.0,40.3,33.3,563.64
843,41.3,47.7,32.2,634.34
846,41.5,37.2,31.4,484.75
852,37.45,49.70,34.25,637.48
855,36.8,42.3,33.7,524.59
856,34.6,48.3,28.9,482.97
857,40.8,44.9,32.9,602.70
858,22.6,45.3,45.0,460.70
859,39.6,45.0,34.7,618.35
861,40.7,36.3,29.1,429.93
863,37.85,46.80,34.05,603.15
869,25.7,42.3,0,0
870,40.65,50.70,32.45,668.78
872,40.3,34.4,32.3,447.78
874,45.1,40.5,34.1,622.85
876,41.5,36.3,31.3,471.52
878,45.3,42.3,35.7,684.08
880,39.90,49.40,32.10,632.71
881,36.8,46.4,35.4,604.46
882,37.55,44.80,29.50,496.26
883,40.65,48.20,33.20,650.50
885,39.95,50.70,34.35,695.75
886,37.4,43.1,0,0
888,31.9,40.8,40.6,528.42
889,32.3,40.4,39.3,512.83
890,33.8,36.8,32.4,403.00
892,37.5,49.5,33.4,619.99
894,42.3,38.3,39.6,641.56
897,34.40,40.85,34.35,482.70
899,41.3,42.7,34.1,601.36
900,46.3,44.8,27.3,566.27
901,38.20,46.50,35.30,627.03
905,32.3,41.9,37.1,502.10
908,40.0,39.0,30.6,477.36
909,36.45,42.85,32.85,513.08
911,38.50,43.55,37.00,620.37
914,43.2,43.1,32.9,612.57
915,45.4,41.7,35.2,666.40
916,43.0,45.1,32.6,632.21
917,45,43,38,735.30
918,41.2,41.1,37.6,636.69
920,46.5,42.7,35.9,712.81
921,25.6,42.2,40.8,440.77
922,36.25,43.15,35.75,559.20
923,37.8,44.4,36.8,617.62
924,43.0,36.5,37.1,582.28
926,39.8,47.3,33.3,626.89
927,42.4,44.1,33.3,622.66
930,0,49.75,39.50,0
931,42.3,46.6,30.3,597.27
933,39.95,42.55,32.10,545.66
934,37.6,44.5,35.8,599.01
935,34.85,46.80,34.05,555.35
937,45,40,41,738.00
941,44.2,38.3,38.2,646.67
942,41.9,50.4,31.2,658.87
944,44.3,44.7,31.4,621.79
945,36.55,46.80,31.30,535.40
947,39.3,51.7,29.6,601.42
948,34.0,38.9,0,0
949,41.7,39.6,36.1,596.13
950,45.5,45.8,28.4,591.83
952,36.80,41.90,31.65,488.02
953,32.2,47.7,41.4,635.88
954,37.7,51.8,32.5,634.68
955,32.3,38.7,28.1,351.25
956,38.1,38.1,30.6,444.19
957,47.1,42.8,33.4,673.30
958,25.2,46.6,35.7,419.23
959,42.8,41.5,37.2,660.75
960,28.50,49.50,31.50,444.39
961,36.8,43.5,35.8,573.09
964,48.1,36.6,33.4,587.99
965,25.9,40.9,36.4,385.59
966,34.7,45.7,31.0,491.59
968,41.6,42.1,34.7,607.72
969,40,46,38,699.20
970,43.9,42.0,31.9,588.17
971,0,35.8,31.4,0
972,25.7,47.5,38.1,465.11
975,40.6,41.2,34.1,570.40
977,32.2,39.8,39.6,507.50
978,38.7,43.5,34.7,584.16
979,0,40.3,43.8,0
980,39.4,34.8,30.4,416.82
981,0,38.8,32,0
982,37.9,48.5,34.9,641.51
983,40.45,40.40,37.25,608.73
984,41.9,37.5,33.9,532.65
986,32.9,44.4,41.8,610.60
988,34.80,42.90,35.15,524.76
989,40.8,48.1,31.6,620.14
992,35.55,46.85,33.00,549.62
993,40.0,35.5,32.3,458.66
994,36.0,42.4,28.8,439.60
995,40.4,41.5,33.9,568.37
996,33.65,36.0,26.0,314.96
997,36.0,44.0,38.9,616.18
998,39.0,44.5,36.0,624.78
999,43.7,40.4,33.4,589.67
1000,36.80,44.70,38.25,629.20
1001,44.00,42,36.00,665.28
1002,38.5,37.8,26.3,382.74
1003,39.0,34.9,31.0,421.94
1004,38.4,44.9,35.8,617.25
1005,40.3,40.8,35.9,590.28
1007,39.6,39.3,33.4,519.80
1008,0,48,36,0
1010,39.65,44.70,35.30,625.64
1012,44.3,44.6,35.3,697.45
1014,40,41.1,32.9,540.88
1015,29.7,39.5,39.9,468.09
1016,40.50,44.90,32.20,585.54
1018,38.8,48.4,32.5,610.32
1020,37.6,47.2,33.2,589.21
1021,38.10,48.75,29.25,543.28
1022,38.4,39.3,26.3,396.90
1024,24.85,36.40,37.00,334.68
1025,34.2,47.0,27.7,445.25
1026,0,45,40,0
1027,40.6,41.0,34.1,567.63
1029,39.8,45.1,35.1,630.04
1030,41.25,44.15,35.35,643.79
1031,41.0,45.1,31.6,584.32
1032,37.7,45.4,34.5,590.50
1033,40.3,41.6,34.9,585.09
1034,38.1,36.6,28.7,400.21
1036,35.4,43.4,36.4,559.24
1037,0,48.65,34.25,0
1038,23.5,46.7,41.0,449.95
1041,33.2,40.4,38.4,515.05
1042,0,40.1,37.2,0
1043,41.5,47.5,32.2,634.74
1044,50,50,31.00,775.00
1045,40.55,40.20,31.70,516.74
1046,30.24,40.9,29,358.68
1047,0,43.15,29.70,0
1048,38.95,47.30,35.15,647.58
1049,0,48.95,0,0
1050,32.89,36.8,28.6,346.16
1053,38.7,47.9,33.2,615.44
1054,40.2,39.7,34.0,542.62
1055,31.2,40.1,0,0
1056,37.45,41.75,34.60,540.98
1057,42.0,43.5,34.4,628.49
1058,40.1,39.2,34.7,545.46
1059,39.4,48.0,34.4,650.57
1060,21.8,45.3,33.6,331.81
1062,37.90,44.50,33.65,567.52
1064,48.0,42.9,38.0,782.50
1065,32.3,36.4,28.2,331.55
1066,20.9,0,42.4,0
1067,40.00,42.00,27.50,462.00
1068,43.2,43.0,31.1,577.71
1069,0,41.85,43.50,0
1070,37.9,39.4,38.2,570.43
1071,22.5,49.4,39.2,435.71
1072,45.00,42.50,29.50,564.19
1073,17.54,49.17,46.77,403.36
1074,32.50,40.00,37.50,487.50
1076,42.0,38.9,33.5,547.32
1077,22.92,50.2,31.6,363.58
1078,38.05,47.55,34.95,632.34
1079,32.16,40.4,25.7,333.91
1081,44.50,46.00,29.00,593.63
1082,38.35,45.30,34.80,604.56
1083,0,48.3,39,0
1085,39.2,46.4,33.7,612.96
1086,39.7,44.2,34.3,601.88
1087,39.75,42.15,30.90,517.72
1088,22.6,53.0,36.2,433.60
1090,32.0,40.9,39.0,510.43
1093,30,38,27,307.80
1094,22.7,48.9,35.1,389.62
1095,40.4,45.2,33.8,617.22
1096,29.41,37.8,28.2,313.50
1097,40.1,44.2,31.1,551.22
1098,40,39,37,577.20
1099,38.70,44.65,36.20,625.52
1101,38.2,45.1,34.5,594.37
1102,43.75,44.4,31.9,619.66
1103,42.2,30.6,33.5,432.59
1104,45.9,46.4,32.4,690.04
1106,36.1,48.6,36.6,642.13
1107,40.1,32.7,31.4,411.74
1109,43.50,40.50,33.00,581.38
1110,43.10,42.00,32.30,584.69
1111,45.2,44.5,33.4,671.81
1112,38.1,46.1,33.8,593.67
1113,0,44.1,40,0
1114,38.4,44.6,34.7,594.29
1118,43.2,47.7,34.5,710.92
1119,0,41.14,37.81,0
1120,40.1,45.7,29.3,536.94
1121,33.6,45.6,0,0
1122,25.1,45.4,38.7,441.00
1123,40.8,44.3,34.2,618.14
1124,39.9,47.1,33.3,625.80
1125,31.79,38.8,28.3,349.07
1126,0,45,0,0
1127,34.6,46.9,37.3,605.28
1128,0,36.7,28.3,0
1130,0,43.5,36.1,0
1132,35.05,41.10,35.05,504.91
1134,31.6,41.8,36.5,482.12
1135,36.7,43.1,38.7,612.14
1136,35.0,41.1,0,0
1140,0,42.50,31.50,0
1141,20.85,44.35,40.20,371.73
1145,0,47.50,45.00,0
1146,21.0,50.5,41.0,434.81
1148,20.9,40.6,45.5,386.09
1149,27.46,37.2,31.5,321.78
1150,35.1,38.4,33.4,450.18
1151,43.4,43.8,34.0,646.31
1152,31.6,40.3,0,0
1153,39.3,44.3,37.2,647.65
1154,30.69,40.4,26.6,329.81
1155,32.3,40.9,38.4,507.29
1156,38.2,43.0,37.2,611.05
1157,31.00,40.00,29.00,359.60
1159,0,35,32,0
1160,39.40,46.85,30.15,556.54
1161,0,38.5,30,0
1163,32.3,39.9,26.4,340.24
1164,41.4,44.5,31.7,584.01
1166,39.4,45.0,34.8,617.00
1169,43.1,40.1,35.7,617.01
1171,25.72,43.3,43.4,483.34
1172,44.9,45.6,29.6,606.04
1175,44.2,45.4,34.3,688.29
1176,0,39.67,29.85,0
1177,41.5,43.6,33.0,597.10
1179,40.9,48.7,31.8,633.40
1180,0,41.7,40,0
1182,22.9,43.4,43.9,436.30
1183,0,43.9,38.1,0
1185,42.6,41.1,33.0,577.78
1186,0,50,0,0
1187,0,41.3,43,0
1188,37.80,42.05,35.50,564.27
1190,44.5,43.5,31.8,615.57
1191,39.3,34.5,32.5,440.65
1192,48,35,31,520.80
1193,21.76,42.7,39.5,367.02
1194,18.2,45.7,48.9,406.72
1196,0,40.47,43.13,0
1197,41,40.7,29.9,498.94
1198,41.0,48.6,29.1,579.85
1199,31.65,37.6,28.6,340.35
1200,21.8,44.4,44.8,433.63
1201,30.9,45.0,36.6,508.92
1202,32.3,37,28.5,340.60
1204,42.3,43.4,33.9,622.34
1205,38.75,38.80,34.35,516.45
1206,37.20,46.45,33.30,575.40
1207,0,47.6,37.50,0
1209,47.8,42.1,31.4,631.89
1211,42.50,39.00,40,663.00
1212,20.5,46.8,43.2,414.46
1213,18.86,45.7,38.6,332.69
1214,0,48,40,0
1215,25.0,45.0,40.0,450.00
1216,41.5,43.0,34.0,606.73
1217,45.2,43.0,34.4,668.60
1218,40.50,43.50,34.00,599.00
1219,0,42,34,0
1220,26.6,39.6,0,0
1221,39.3,43.6,35.1,601.43
