bid,单位面积穗数(万),千粒重(g),每穗粒数,亩产量(kg)
1495,42.75,44.00,33.60,632.02
1498,32.5,40.6,36.8,485.58
1499,33.0,41.2,32.0,435.07
1500,37.60,42.30,35.25,560.64
1501,19.4,45.8,49.4,438.93
1502,39.50,49.00,31.00,600.00
1503,0,43.73,33,0
1504,48.4,41.5,32.2,646.77
1507,39.25,44.35,36.00,626.67
1508,31.3,36.8,38.7,445.76
1509,36.50,46.40,34.10,577.52
1510,0,46.5,46.2,0
1511,48.00,38.00,31.50,574.56
1512,21.9,47.8,43.3,453.27
1513,19.7,47.7,41.5,389.97
1514,20.9,40.8,52.0,443.41
1515,26.6,44.8,37.8,450.46
1516,31.3,46.3,40.3,584.02
1518,33.85,39.20,34.65,459.78
1521,37.80,45.55,34.25,589.71
1522,0,36.4,36,0
1523,0,51.8,41.3,0
1524,35.15,46.15,36.25,588.04
1525,37.10,41.60,34.90,538.63
1526,43.9,40.9,35.5,637.41
1527,39.45,46.95,34.50,639.00
1528,31,48,15.00,223.20
1529,37.90,47.00,33.60,598.52
1530,19.0,45.2,48.9,419.95
1531,0,39.5,40,0
1532,32.6,42.3,35,482.64
1533,38.5,41.3,35.9,570.83
1534,21.8,41.3,48.0,432.16
1535,40.3,35.0,35.5,500.73
1536,40.3,34.1,32.4,445.25
1537,33.70,40.95,32.00,441.60
1538,22.6,44.3,47.2,472.56
1539,44.80,44.00,31.00,611.07
1541,42,42.8,33.3,598.60
1542,0,46.65,39.50,0
1543,0,42.50,0,0
1544,37.90,42.80,34.50,559.63
1545,34.10,38.65,32.00,421.75
1546,0,47.2,37,0
1547,38.5,41.5,35.4,565.60
1548,36.25,44.45,33.25,535.76
1549,0,37.5,34.4,0
1550,0,41.58,52.69,0
1551,0,39.1,33,0
1552,45.50,41.00,31.00,578.30
1553,35.05,41.95,31.60,464.63
1554,41,38.7,33.8,536.30
1555,21.1,48.0,43.5,440.57
1556,41,41.6,33.1,564.55
1557,16.6,44.0,38,277.55
1558,0,40.8,37.2,0
1559,37.15,45.00,36.90,616.88
1561,35.0,37.3,30.6,399.48
1562,31.15,46.95,33.55,490.67
1563,39.00,44.80,34.15,596.67
1564,43,44.9,32.7,631.34
1565,0,46.10,33.80,0
1566,39.25,47.45,33.20,618.32
1567,37.40,44.50,35.10,584.17
1568,0,48.93,38.50,0
1569,25.1,54.0,45.5,616.71
1570,20.2,45.0,49.7,451.77
1571,49.6,37.2,33.9,625.50
1572,38.90,46.15,33.65,604.10
1574,45.6,41.2,30.8,578.65
1577,39.25,43.85,34.85,599.81
1578,21.9,44.9,44,432.66
1579,50.5,37.5,34.2,647.66
1581,44.7,45.6,30.9,629.84
1582,41,42.2,31.8,550.20
1583,0,42.0,34.2,0
1584,30.70,45.65,34.30,480.70
1585,22.3,41.7,47.5,441.71
1586,39.4,41.3,31.3,509.32
1587,38.70,46.20,31.85,569.46
1588,19.9,47.0,51.7,483.55
1592,40.9,41.9,41.6,712.90
1593,40.00,45,39.00,702.00
1594,35.8,42.6,31.3,477.35
1595,0,46.50,46.00,0
1598,31.4,38.0,32.9,392.56
1599,39.0,37.3,32.7,475.69
1601,35.05,42.95,30.60,460.65
1602,35.90,44.20,31.80,504.60
1603,42,42.9,31.6,569.37
1605,35.5,35.7,33,418.23
1606,39.80,44.65,33.25,590.88
1607,33.55,38.00,32.40,413.07
1608,0,38.5,41,0
1609,0,47.9,31.35,0
1610,40,38.4,33.8,519.17
1611,38.50,35.50,0,0
1612,35.8,35.8,31.9,408.84
1613,31,41,36,457.56
1614,38.15,42.55,36.30,589.25
1615,32.30,38.85,36.50,458.02
1616,0,44.00,45.50,0
1618,0,47,44,0
1619,46.2,46.0,32.8,697.07
1620,38.40,41.50,31.75,505.97
1621,46,45.1,33.6,697.07
1622,32.95,46.05,30.70,465.83
1623,0,45.55,53.50,0
1625,39.0,39.0,34.6,526.27
1626,36.15,33.70,35.80,436.14
1627,41.4,42.7,33.9,599.28
1628,33.80,33.90,38.40,439.99
1631,42,41.2,34.8,602.18
1632,0,44.50,46.00,0
1633,39.05,45.45,34.00,603.44
1635,39.15,48.10,33.35,628.02
1636,42.2,49.6,35.8,749.34
1638,0,40.0,33.50,0
1639,38.80,40.65,33.55,529.16
1640,0,50.0,36.9,0
1641,37.15,39.20,34.60,503.87
1642,0,43.27,37.00,0
1646,0,0,0,0
1647,0,42.7,41.2,0
1649,27.90,40.85,42.00,478.68
1650,36.2,44.8,32.0,518.96
1655,30.8,36.9,36.9,419.38
1656,34.95,45.25,35.05,554.31
1657,0,39.50,39.50,0
1659,43,43.5,34.7,649.06
1660,34.1,39.1,37,493.32
1662,39.25,44.70,31.75,557.05
1663,31.55,43.60,33.30,458.07
1664,0,37.9,0,0
1666,43,44.0,34.6,654.63
1668,35.6,44.3,34.2,539.36
1669,0,44,37,0
1670,30.70,37.05,43.85,498.77
1671,31.8,43.3,34.4,473.67
1673,31.2,42,36.8,482.23
1674,32.6,43,34.2,479.42
1675,0,41.8,47.56,0
1676,42.5,35.2,32.7,489.19
1677,43.8,43.4,31.5,598.79
1678,0,34.6,0,0
1679,31.30,37.9,40.6,481.63
1681,31.30,37.9,40.6,481.63
1684,33.0,47.8,35.3,556.82
1685,39.1,40.2,31.8,499.84
1687,47,40.1,31.0,584.26
1688,42.3,41.6,38.8,682.76
1689,36.4,40.1,37.8,551.74
1691,37.25,42.40,32.55,514.09
1692,31,41,39,495.69
1694,42,41.7,34,595.48
1695,43,41.3,31.9,566.51
1696,0,40.90,40.00,0
1697,31.9,40.2,31.2,400.10
1700,46,40.8,31.8,596.82
1701,44.14,42.9,0,0
1702,0,46.1,31.4,0
1703,0,40,33,0
1706,0,44.45,45.85,0
1708,40.4,42.1,32.0,544.27
1709,40.6,38.4,30.5,475.51
1710,0,38,0,0
1711,0,35.5,36,0
1713,41.5,38.7,32.4,520.36
1714,45,43.9,33.1,653.89
1716,0,42,41.2,0
1718,42,41.9,31.9,561.38
1719,45.5,41.9,37.4,713.01
1720,48,39.7,34.8,663.15
1721,32.9,36.6,33.2,399.77
1722,43,44.9,33.5,646.78
1723,43,41.3,33.6,596.70
1724,0,40.8,42.7,0
1726,34,42,40,571.20
1728,38.7,33.7,30.9,402.99
1729,42,41.3,35.4,614.05
1730,0,44,40.3,0
1731,0,47.1,44.5,0
1733,41,42.5,32.1,559.34
1734,43,42.6,32.3,591.67
1735,46,45.8,33.6,707.88
1737,0,32,0,0
1740,39.3,37.4,33.2,487.98
1741,47,38.8,35.1,640.08
1742,32,42,36.5,490.56
1743,29.4,39.4,37.3,432.07
1744,39.8,35.4,34.1,480.44
1745,24.3,44.3,0,0
1746,0,34,37,0
1747,0,37.7,34.7,0
1749,46,42.7,33.5,658.01
1750,41,38.1,34.4,537.36
1751,44.9,43.8,38.5,757.15
1752,32.6,36.6,32.8,391.36
1753,0,46.2,34.4,0
1754,35,42.7,37.7,563.43
1755,0,44.5,41.0,0
1756,35.9,40.2,33.0,476.25
1757,0,49,40.8,0
1758,0,46.13,41.69,0
1759,43,41.5,36.4,649.56
1760,0,43.58,52.30,0
1762,46,42.8,32.0,630.02
1763,41,41.7,33.7,576.17
1764,0,48,47,0
1767,30.8,39.1,40.5,487.73
1768,46,43.9,33.6,678.52
1769,41,41.5,32.7,556.39
1770,31.4,37.6,32.3,381.35
1771,46.2,37.8,32.0,558.84
1772,0,47.05,38,0
1773,0,41.8,40.7,0
1775,43,44.9,31.7,612.03
1776,0,31.4,39.5,0
1777,0,44.30,45.80,0
1780,46.2,42.0,33.1,642.27
1781,44,40.0,33.9,596.64
1782,41,41.6,33.2,566.26
1783,35.0,40.2,32.8,461.50
1785,39.6,40.1,32.6,517.67
1787,43.1,43.1,37.9,704.03
1788,0,37.0,35.6,0
1790,40,42.5,33.9,576.30
1791,46.9,39.6,37.1,689.04
1792,19.10,41.60,39.90,317.03
1793,43.3,40.4,36.2,633.25
1794,47,38.0,33.2,592.95
1795,45,40.3,35.6,645.61
1796,49.1,40.8,34.9,699.14
1797,0,42.2,45.2,0
1798,32.4,36.6,32.2,381.84
1799,35.5,33.6,34,405.55
1800,35,41.3,36.7,530.50
1803,42,40.4,32.8,556.55
1804,0,46.6,35.7,0
1805,31.1,38.9,33.6,406.49
1806,34.3,41.3,35.8,507.14
1807,0,47.6,46,0
1808,41,41.8,36.0,616.97
1809,39,41.4,34.2,552.19
1810,42.1,43.9,38.5,711.55
1811,37.9,42.8,34.8,564.50
1812,18.60,40.80,41.80,317.21
1813,18.10,43.60,40.90,322.77
1814,32.7,25.3,126.7,1048.20
1815,34,32,35,380.80
1816,0,46.1,43.8,0
1817,38,40.7,36.3,561.42
1818,0,42.75,42.30,0
1819,0,43,32,0
1820,43,39.5,33.6,570.70
1821,37.4,36.3,30.5,414.07
1822,29.6,44.7,47.0,621.87
1823,0,53.9,34.15,0
1825,39.0,43.2,32.5,547.56
1826,41,41.3,32.6,552.02
1827,44,39.6,31.0,540.14
1828,0,43.2,35,0
1829,0,43.9,38,0
1830,0,45.7,44,0
1831,29.3,44.0,46.1,594.32
1832,40.0,44.2,40.4,714.27
1833,40.1,38.9,34.8,542.84
1834,38.9,48.0,36.8,687.13
1835,0,4.79,24.5,0
1836,0,40.1,37,0
1837,0,42.77,38.95,0
1838,0,37.6,42,0
1840,0,48.7,35.1,0
1841,0,37.86,31.58,0
1842,0,2.07,44,0
1843,0,38.78,40.2,0
1844,0,45.3,36.74,0
1845,0,2.17,44.9,0
1846,0,44.25,41.9,0
1847,0,48.1,41,0
1848,0,44.3,36.2,0
1849,0,43.7,44,0
1850,0,49.1,36,0
1851,0,49.8,43,0
1852,0,44.6,36.5,0
